topic,title
SCIENCE,Weather OK for SpaceX Starlink launch from Cape Canaveral
SCIENCE,Scientists Document Rare 'Boomerang' Earthquake on Atlantic Seafloor For First Time Ever
HEALTH,Case of Covid-19 confirmed at community creche in south Dublin
HEALTH,Northern Chinese City Issues Health Warning After Resident Dies of Plague
HEALTH,Options considered to restrict non-essential travel to Ireland
HEALTH,COVID-19 study finds racial disparity in hospitalizations in Minnesota
SCIENCE,'Beautiful and healthy' young woman died suddenly on dream work trip in Australia
SPORTS,Norwegian double Olympic cross-country skiing gold medallist in cocaine scandal
SCIENCE,"After Years of Parent Petitions, of Course Halloween Is on a Saturday in 2020"
HEALTH,"Inconsistent EPA regulations increase lead poisoning risk to kids, study finds"
SPORTS,Fans react as United's move for key summer target hits a snag
SPORTS,Aubameyang sparks Arsenal contract speculation with teasing tweet
SPORTS,Ronaldo 'has been offered to Barcelona' in a sensational move that would pair him with Messi
HEALTH,Cancer services ramp up after detection falls during lockdown
SCIENCE,Zombie cicadas lure victims with sex before passing on deadly parasite
SPORTS,Jennifer Song Ready to Chase at the Ladies Scottish Open | LPGA
HEALTH,"Study hints, can't prove, survivor plasma fights COVID-19"
SPORTS,F1 reveals format for two-day Imola grand prix
HEALTH,UBC created a cartoon superhero voice by a six year old to explain coronavirus to kids - BC News
SCIENCE,LIVE: Tracking SpaceX Crew Dragon’s splashdown near Pensacola
HEALTH,"For the first time, a woman in the U.S. gets a second face transplant"
SPORTS,Lionel Messi Has A Small Section Dedicated To Him Inside Bayern Munich's Allianz Arena
SPORTS,Premier League: Police called to Paul Scholes house party
SPORTS,“Never Concern Yourself”: LeBron James Extends Huge Motivation to Anthony Davis as He Vows to Fight Back
SPORTS,League boss considers tougher penalties for bubble breaches
SCIENCE,A team of international physicists join forces in hunt for sterile neutrinos
HEALTH,France imposes new rules requiring outdoor masks
SPORTS,Indiana Pacers forward T.J. Warren becomes talk of the NBA with 53-point outburst
HEALTH,Thousands of coronavirus deaths set to be wiped off official records following urgent review
SCIENCE,Scientists unlock Alpine trees' molecular defence
SCIENCE,New USask-led research reveals previously hidden features of plant genomes
SCIENCE,"Venus Has A Giant Cloud Stretching Thousands Of Km, Moving At Over 300 Kmph"
SPORTS,Can we dive into the swimming pool yet?
